,name,cname,category,symbol,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
0,NVIDIA Corp.,英伟达公司,半导体,NVDA,182.08,3.98,2.23,178.10,184.50,185.26,180.30,2.78%,147732540,4424544044495,36.93306454,NASDAQ,12
1,"Alphabet, Inc.",谷歌A类股,媒体内容,GOOGL,317.32,11.86,3.88,305.46,320.44,322.08,315.02,2.31%,33547140,3838620128601,29.08524397,NASDAQ,702
2,"Alphabet, Inc.",谷歌,互联网,GOOG,314.74,10.81,3.56,303.93,317.83,319.39,312.70,2.20%,20887425,3807409478057,28.84876211,NASDAQ,41
3,"Apple, Inc.",苹果公司,计算机,AAPL,258.90,5.40,2.13,253.50,258.45,259.75,256.53,1.27%,41032627,3800947056393,32.64817144,NASDAQ,5
4,Microsoft Corp.,微软公司,软件,MSFT,374.33,2.04,0.55,372.29,384.98,385.00,371.41,3.65%,33064773,2779635696320,23.32274171,NASDAQ,14
5,"Amazon.com, Inc.",亚马逊公司,互联网,AMZN,221.25,7.48,3.50,213.77,223.79,226.10,219.62,3.03%,51092698,2375101242045,30.34979440,NASDAQ,41
6,"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,半导体,TSM,365.90,20.58,5.96,345.32,370.29,374.30,359.24,4.36%,16356896,1897197630636,34.32457778,NYSE,12
7,Broadcom Inc.,博通,半导体,AVGO,350.63,16.66,4.99,333.97,351.75,354.14,342.53,3.48%,31573113,1660116728474,66.40719526,NASDAQ,12
8,"Meta Platforms, Inc.","Meta Platforms, Inc.",,META,612.42,37.37,6.50,575.05,606.00,629.95,591.83,6.63%,32036613,1549150314033,25.56010043,NASDAQ,
9,"Tesla, Inc.",特斯拉,汽车制造,TSLA,343.25,-3.40,-0.98,346.65,363.79,364.50,339.67,7.16%,78838615,1288022278165,290.88984344,NASDAQ,155
10,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,保险,BRK.A,720512.00,3632.00,0.51,716880.00,722000.00,724000.00,717100.00,0.96%,162,1036663189200,15.47391316,NYSE,25
11,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,保险,BRK.B,479.75,1.67,0.35,478.08,483.75,483.75,477.68,1.27%,4655084,1035187468964,15.34218078,NYSE,25
12,"Walmart, Inc.",沃尔玛公司,零售,WMT,127.26,4.77,3.89,122.49,122.28,127.30,121.33,4.87%,20194258,1014567941237,46.44525609,NYSE,52
13,Eli Lilly & Co.,礼来公司,生物技术和制药,LLY,953.30,22.21,2.39,931.09,941.52,961.14,933.13,3.01%,2567967,900705310879,42.14411814,NYSE,700
14,JPMorgan Chase & Co.,摩根大通公司,,JPM,307.97,10.57,3.55,297.40,307.97,311.26,305.33,1.99%,10589908,826150494122,15.36010040,NYSE,695
15,Exxon Mobil Corp.,埃克森美孚公司,,XOM,156.22,-7.69,-4.69,163.91,153.52,156.35,150.98,3.28%,31311121,650931792183,23.31641876,NYSE,710
16,"Visa, Inc.",维萨卡公司,,V,308.96,6.41,2.12,302.55,307.73,311.08,307.70,1.12%,6879189,594429830194,28.92883732,NYSE,726
17,Johnson & Johnson,强生公司,制药,JNJ,241.30,2.89,1.21,238.41,236.64,241.33,233.90,3.12%,8770992,581102012468,21.68014381,NYSE,10
18,Vanguard Total International Stock ETF,领航 国际股票 ETF,股权,VXUS,81.23,3.21,4.11,78.02,81.60,81.70,80.67,1.33%,6997956,550767719069,,NASDAQ,145
19,ASML Holding NV,阿斯麦公司,半导体,ASML,1421.05,114.60,8.77,1306.45,1421.00,1429.29,1384.22,3.45%,2426510,547697791667,50.80622394,NASDAQ,12
20,"Micron Technology, Inc.",美光科技公司,半导体,MU,406.73,29.15,7.72,377.58,415.13,416.00,398.88,4.53%,49216570,458683282953,18.97061571,NASDAQ,12
21,Costco Wholesale Corp.,开市客公司,,COST,1030.27,17.06,1.68,1013.21,1004.44,1030.46,1000.00,3.01%,2265705,457081921354,53.49273143,NASDAQ,822
22,"Mastercard, Inc.",万事达卡公司,商业服务,MA,507.12,8.84,1.77,498.28,508.00,511.82,505.86,1.20%,3874917,452398548035,30.64169296,NYSE,16
23,"Netflix, Inc.",奈飞公司,,NFLX,99.39,0.57,0.58,98.82,100.32,100.40,97.44,3.00%,30957609,419640693810,38.52325672,NASDAQ,712
24,Oracle Corp.,甲骨文公司,软件,ORCL,143.66,0.49,0.34,143.17,150.30,151.46,142.90,5.98%,23527034,413316584652,25.24780355,NYSE,14
25,Chevron Corp.,雪佛龙公司,油气,CVX,192.89,-8.65,-4.29,201.54,191.41,193.17,188.60,2.27%,17195372,384197450463,28.91904006,NYSE,76
26,"Advanced Micro Devices, Inc.",美国超微公司,半导体,AMD,231.82,10.29,4.64,221.53,232.12,234.00,227.09,3.12%,35496362,377945147689,86.82397030,NYSE,12
27,"AbbVie, Inc.",艾伯维公司,生物技术和制药,ABBV,211.59,5.22,2.53,206.37,206.26,212.22,204.56,3.71%,5477386,374729989373,89.65678209,NYSE,700
28,Bank of America Corp.,美国银行公司,银行,BAC,51.88,1.60,3.18,50.28,51.94,52.26,51.37,1.77%,36473543,370862317397,13.37113390,NYSE,61
29,"Caterpillar, Inc.",卡特彼勒公司,,CAT,771.58,47.14,6.51,724.44,764.62,774.40,753.10,2.94%,3013982,358992435325,40.80275110,NYSE,774
30,Procter & Gamble Co.,宝洁公司,,PG,144.90,3.60,2.55,141.30,143.15,145.11,141.87,2.29%,10849124,336794175160,20.99999883,NYSE,761
31,"Palantir Technologies, Inc.","Palantir Technologies, Inc.",,PLTR,140.76,-9.31,-6.20,150.07,154.76,156.28,139.17,11.40%,64827510,336652259942,206.99998974,NYSE,
32,"The Home Depot, Inc.",家得宝公司,零售,HD,336.16,17.39,5.46,318.77,333.26,338.78,332.25,2.05%,4610604,334859067028,23.57363242,NYSE,52
33,The Coca-Cola Co.,可口可乐公司,饮料,KO,77.29,1.38,1.82,75.91,75.81,77.37,75.31,2.71%,12331294,332754048413,25.34098430,NYSE,74
